"period","predict_values","target"
2021-12-01,1782.3,1784.3
2021-12-02,1786.5,1762.7
2021-12-03,1766.5,1783.9
2021-12-06,1784.5,1779.5
2021-12-07,1781.2,1784.7
2021-12-08,1786.5,1785.5
2021-12-09,1787.7,1776.7
2021-12-10,1785.1,1784.8
2021-12-13,1790.4,1788.3
2021-12-14,1790.8,1772.3
2021-12-15,1780.2,1764.5
2021-12-16,1777.6,1798.2
2021-12-17,1793.1,1804.9
2021-12-20,1799.4,1794.6
2021-12-21,1798,1788.7
2021-12-22,1793.9,1802.2
2021-12-23,1800.1,1811.7
2021-12-27,1813.1,1808.8
2021-12-28,1803.1,1810.9
2021-12-29,1810.2,1805.8
2021-12-30,1804,1814.1
2021-12-31,1815.8,1828.6
